Institutional_Owner,Shelfmark,Title,Publisher,Creator,Type_of_Content,Date_of_Map,Technique,Subject,Annotation,Rights,Language,Date_of_Publication,Distribution_Format,Geographic_Location,Scale_of_Map,Reference_System,Mapping_Methods,Map_Format,Source_Materials,Pagination,Annotation_Edition,Annotation_Library_Index,Other_Annotation,PPN,Region_Keyword,Additional_Signature,Item_URL,OCLC_number,Date_created,Date_modified,CONTENTdm_number,CONTENTdm_file_name,CONTENTdm_file_path
,uklu 01-08-10,"Slvsa, Teutonicæ Flandriae opp. admodvm elegans",S.l. :s.n.,"Braun, Georg",,1588,,krt-1588-zee krt-1588-zee-v,,,,,,74.20 geografie van Nederland,[ca. 1:3.400],,,29 x 41 cm,kopergravure,1 plattegrond,,,handgekleurd,107390191,4.210.410 Sluis,krt-1588-zee,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/836,,2012-10-24,2021-07-14,836,6437.cpd,/Kaarten/image/6437.cpd
,uklu 01-18-23,"Delphum : urbs Hollandiæ cultissima, ab eiusdem nominis fossa, vulgo, Delfft appellata",[S.l. : s.n.],"Braun, Georg",,1588,,krt-1588-zho-dui krt-1588-zho-dui-v,"Andere titel op de kaart:  | Genummerd op verso: 29. Tekst achterop alleen rechts | Beschreven in : Koeman, Atlantes Neerlandici I p. 18, 29 | Lit.: Civitates orbis terrarum / [G.] Braun & [F.] Hogenberg ; with an introd. by R.A. Skelton. [Facs. ed.] . Amsterdam 1965 vol. 1 |",,,,,74.20 geografie van Nederland |,[ca. 1:3.300],,,"35,5 x 48,5 cm",kopergravure,1 vogelvluchtplgr,,Verso : Delfft [tekst in het Duits] |,Gekleurd |,160496225,4.210.110 Delft |,krt-1588-zho-dui,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/839,,2012-10-24,2021-07-14,839,6440.cpd,/Kaarten/image/6440.cpd
,uklu 01-18-24,"Delphum : urbs Hollandiæ cultissima, ab eiusdem nominis fossa, vulgo, Delfft appellata",[S.l. : s.n.],"Braun, Georg",,1588,,krt-1588-zho-lat krt-1588-zho-lat-v,"Andere titel op de kaart:  | Genummerd op verso: 29. Tekst achterop alleen rechts | Beschreven in : Koeman, Atlantes Neerlandici I p. 18, 29 | Lit.: Civitates orbis terrarum / [G.] Braun & [F.] Hogenberg ; with an introd. by R.A. Skelton. [Facs. ed.] . Amsterdam 1965 vol. 1 |",,,,,74.20 geografie van Nederland |,[ca. 1:3.300],,,"35,5 x 48,5 cm",kopergravure,1 vogelvluchtplgr,,Verso : Delphium [tekst] |,Gekleurd |,160496446,4.210.110 Delft |,krt-1588-zho-lat,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/842,,2012-10-24,2021-07-14,842,6443.cpd,/Kaarten/image/6443.cpd
,uklu 01-04-14,Groningensis agri vera descriptio 1589,[Coln am Rhein] : I. Bussem[acher] exc.,,,1589,,krt-1589-grp,"Beschreven in: Vredenberg-Alink, De kaarten van Groningerland 1 A 1 |",,,,,74.20 geografie van Nederland |,[ca. 1:300.000],,,"19 x 26,5 cm",kopergrav,1 krt,,Verso beschrijving van Groningen in het Duits |,Geplakt op linnen | Bibliotheek Backer |,151542775,4.210.230 Groningen (provincie) |,BACKER PORT 08 NO03 | ; krt-1589-grp,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/844,,2012-10-24,2012-10-24,844,6445.cpd,/Kaarten/image/6445.cpd
,uklu 01-07-14,"Vvaerachtige conterfeytinge der wytberoembden stadt Gronningen : in gestalt als die anno MDXCIIII den XIJ. dach Maij van den Duerluchtigen Hoochgeboren Furst en[de] Heere Graeff Maurits gebooren Prince van Orangien, Grave van Nassau &#38;c. en[de] den Heeren Generale Staten der Geunieerde Nederlandtsche Provincien met Herescracht is berendt, belegert en[de] beschoten",[S.l. : s.n.],,,1594,,krt-1594-grs,"Beschr. in: Van Rijn, Atlas van Stol : katalogus [...] 1e dl. p. 526, 954 |",,,,,74.20 geografie van Nederland |,Zonder schaal,,,50 x 35 cm op blad 57 x 55 cm,houtsnede,1 vogelvluchtplattegrond in 4 bladen aaneengeplakt,,Rechts van de kaart: toelichting |,Gekleurd |,160504597,4.210.230 Groningen (stad) |,1301/1981 | ; krt-1594-grs,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/846,,2012-10-24,2012-10-24,846,6447.cpd,/Kaarten/image/6447.cpd
,uklu 02-16-34,Regni Hispaniae post omnium editiones locvpletissima descriptio,[S.l. : s.n.],"Ortelius, Abraham",,1598,,krt-1598-spa-rhpo  krt-1598-spa-rhpo-v,"Genummerd op verso: 15 | Beschreven in: Koeman, Atlantes Neerlandici III p. 34 [7] |",,,,,74.19 geografie van Europa |,[ca. 1:3.500.000],,,36 x 47 cm,kopergrav,1 krt,,Verso: Spaignen (tekst in het Nederlands) |,,155483889,4.600 Iberisch schiereiland |,krt-1598-spa-rhpo,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/849,,2012-10-24,2012-10-24,849,6450.cpd,/Kaarten/image/6450.cpd
,uklu 01-18-07,"Berga ad Somam, : Brabantiæ opp[idum] á fluuioso sic dicto, qui eam irrigat [...]",[S.l. : s.n.],"Braun, Georg",,159X,,krt-159X-nbr  krt-159X-nbr-v,"Andere titel op de kaart: Bergen op Zoom | Genummerd op verso : 14 | Beschreven in : Koeman, Atlantes Neerlandici I p.18, 14 |",,,,,74.20 geografie van Nederland |,[ca. 1:3.500],,,"34 x 38,5 cm",gravure,1 vogelvluchtplgr,,Verso : Berga ad Zoomam [tekst in het Lat.] |,,141386339,4.210.430 Bergen op Zoom (stad) |,krt-159X-nbr,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/852,,2012-10-24,2012-10-24,852,6453.cpd,/Kaarten/image/6453.cpd
,uklu 01-01-44,Frisiae antiquissimae trans Rhenum prouinciae et adiacentium regionum noua et exacta descriptio,Coloniae Agr. : Joan Bussemecher excudit,"Nagel, Henricus",,1600,,krt-1600-nne krt-1600-nne-v,"Genummerd op verso: 43. Beschreven in: Vredenberg-Alink, De kaarten van Groningerland 1B 29",,,,,74.20 geografie van Nederland |,[ca. 1:700.000],,,19 x 27 cm,kopergravure,1 krt,,Verso: Westfrieslandt [tekst in het Duits],,147371643,4.210.200 Noord-Nederland |,13374/1990 | ; krt-1600-nne,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/855,,2012-10-24,2021-07-14,855,6456.cpd,/Kaarten/image/6456.cpd
,uklu 01-01-41,"Embdena, Embden : urbs Frisiae orientalis primaria",S.l. : s.n.,"Braun, Georg",,1600,,krt-1600-ost-embd krt-1600-ost-embd-v,,,,,,74.19 geografie van Europa |,[ca. 1:2.700],,,35 x 48 cm,houtgrav,1 vogelvluchtkrt,,Verso: Embdena [tekst in het Latijn] ; onderaan: 32 |,,114290679,4.415 Emden (plaats) |,13376/1990 | ; krt-1600-ost-embd,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/858,,2012-10-24,2021-07-14,858,6459.cpd,/Kaarten/image/6459.cpd
,uklu 01-07-11,Frisia orientalis,[S.l. : s.n],"Florianus, Joannes",,1600,,krt-1600-ost-fo  krt-1600-ost-fo-v,"Genummerd op verso ; 45 | Lit.: A.W. Lang, Kleine Kartengeschichte Frieslands zwischen Ems und Jade, Norden 1985 |",,,,,74.19 geografie van Europa |,[ca. 1:250.000],,,38 x 50 cm,Kopergravure,1 krt,Inzet rechtsonder,Verso: Frisia orientalis [tekst in het Lat.] |,,126724652,4.415 Ostfriesland | 3.113 Dollard |,13375/1990 | ; krt-1600-ost-fo,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/861,,2012-10-24,2012-10-24,861,6462.cpd,/Kaarten/image/6462.cpd
,uklu 01-01-16,Liberæ et Hanseaticæ vrbis Daventriensis delineatio,[S.l. : s.n.],,,1600,,krt-1600-ove  krt-1600-ove-v,"Andere titel op de kaart: Deventer | Beschreven in: Koeman, Atlantes Neerlandici I, p. 19 |",,,,,74.20 geografie van Nederland |,[ca. 1:4.000],,,34 x 42 cm,"kopergravure, handgekleurd",1 plgr,,Verso: Daventria [tekst in het Latijn] |,,106917048,4.210.270 Deventer |,krt-1600-ove,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/864,,2012-10-24,2012-10-24,864,6465.cpd,/Kaarten/image/6465.cpd
,uklu 01-25-22,Dordrecht,[S.l. : s.n.],"Braun, Georg",,1600,,krt-1600-zho-fra  krt-1600-zho-fra-v,"Genummerd op verso : 28 | Beschreven in: Koeman, Atlantes Neerlandici II p. 19 (28) |",,,,,74.20 geografie van Nederland |,[ca. 1:3.000],,,33 x 46 cm,kopergravure,1 plgr in vogelvluchtperspectief,,Verso : Dordrecht [tekst in het Frans] |,gekleurd |,145612791,4.210.110 Dordrecht |,krt-1600-zho-fra,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/867,,2012-10-24,2012-10-24,867,6468.cpd,/Kaarten/image/6468.cpd
,uklu 01-25-21,Dordrecht,[S.l. : s.n.],"Braun, Georg",,1600,,krt-1600-zho-lat  krt-1600-zho-lat-v,"Genummerd op verso : 28 | De kaart is in spiegelbeeld afgedrukt, ook de titel | Beschreven in: Koeman, Atlantes Neerlandici II p. 19 (28) |",,,,,74.20 geografie van Nederland |,[ca. 1:3.000],,,"33,5 x 46,5 cm",kopergravure,1 plgr in vogelvluchtperspectief,,Verso : Dordracvm [tekst in het Latijn] |,gekleurd |,154986275,4.210.110 Dordrecht |,krt-1600-zho-lat,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/870,,2012-10-24,2012-10-24,870,6471.cpd,/Kaarten/image/6471.cpd
,uklu 01-25-23,Dordrecht,[S.l. : s.n.],"Braun, Georg",,1600,,krt-1600-zho-lat-variant  krt-1600-zho-lat-variant-v,"Genummerd op verso : 28 | Beschreven in: Koeman, Atlantes Neerlandici II p. 19 (28) |",,,,,74.20 geografie van Nederland |,[ca. 1:3.000],,,33 x 46 cm,kopergravure,1 plgr in vogelvluchtperspectief,,Verso : Dordracum [tekst in het Latijn] |,gekleurd |,154991287,4.210.110 Dordrecht |,krt-1600-zho-lat-variant,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/873,,2012-10-24,2012-10-24,873,6474.cpd,/Kaarten/image/6474.cpd
,uklu 01-01-40,Terra Sancta quæ in Sacris Terra Promissionis ol. Palestina,[Amstelodami : excusum in aedibus Iudoci Hondij],"Mercator, Gerardus",,1606,,krt-1606-pal  krt-1606-pal-v,"Beschr. in: Laor, Maps of the Holy Land p. 494 |",,,,,74.21 geografie van Azie |,[ca. 1:500.000],,,36 x 50 cm,kopergrav,1 krt,,Verso: Terra Sancta (tekst) |,Hoort in UB sign. uklu Rg--- 4 (Zl. O.K.W.) |,160327776,5.225 Palestina |,krt-1606-pal,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/876,,2012-10-24,2012-10-24,876,6477.cpd,/Kaarten/image/6477.cpd
,uklu 01-23-21,Franicher,[Amsterdam : Willem Jansz],,,1612,,krt-1612-frw-fra  kb-1612-frw-fran-33,"Genummerd r.o.: 33 | Lit. : P.A.M. Boele van Hensbroek, Ludovico Guicciardini, Descrittione di tutti i Paesi Bassi. ... Bibliografische studie. In: Bijdragen en mededeelingen van het historische genootschap. 1 (1877) |",,,,,74.20 geografie van Nederland |,[ca. 1:3.600],,,24 x 17 cm,kopergravure,1 plgr,,,"Legaat Mijjer, coll. Hallema |",120875977,4.210.210 Franeker |,krt-1612-frw-fra,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/878,,2012-10-24,2012-10-24,878,6479.cpd,/Kaarten/image/6479.cpd
,uklu 01-04-28,"Groninga opulenta populosa, et valide contra hostiles insultus munita Phrisie vrbs Ptolemaeo Phileum, constracta et denominata a Grunno Anthenoris Regis Francorum fratre, anno ante incarnationem Christi, CCCLXXVII. vt Humbaldes schribit",[Amsterdam : Willem Jansz],"Guicciardijn, Lowijs",,1612,,krt-1612-grs kb krt-1612-grs-gope-34,Met wapen van Groningen linksboven; genummerd rechtsonder: 34,,,,,74.20 geografie van Nederland |,[ca. 1:4.800],,,"24 x 31,5 cm",kopergravure,1 krt,,,Geplakt op linnen; Bibliotheek Backer,151886180,4.210.230 Groningen (stad) |,BACKER PORT 09 NO03 | ; krt-1612-grs,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/880,,2012-10-24,2021-07-14,880,6481.cpd,/Kaarten/image/6481.cpd
,uklu 01-04-54,Frisiae occidentalis typus,[S.l. : s.n.],,,1612,,krt-1612-nne kb-1612-nne-fot-31,Genummerd r.o. : 31,,,,,74.20 geografie van Nederland |,[ca 1:410.000],,,23 x 31 cm,kopergravure,1 krt,,,Bibliotheek Backer,108746402,4.210.210 Friesland | 4.210.230 Groningen (provincie) |,BACKER PORT 11 NO10 | ; krt-1612-nne,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/882,,2012-10-24,2021-07-14,882,6483.cpd,/Kaarten/image/6483.cpd
,uklu 01-01-42,Ciuitas Embda eo modo situata cum essit controversia inter ipsam et suum comitem anno [1595],[S.l. : s.n.],,,1612,,krt-1612-ost,"Beschreven in: W. Klaus, Plaene und Grundrisse von Staedten kapitalistischer Laender Europas ... Teil 1 (1980)",,,,,74.19 geografie van Europa |,[1:3.000],,,25 x 34 cm,kopergravure,1 plgr,,,,114384401,4.415 Emden (plaats) |,13373/1990 | ; krt-1612-ost,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/884,,2012-10-24,2021-07-14,884,6485.cpd,/Kaarten/image/6485.cpd
,uklu 01-04-48,Frisia,S.l. : s.n.,,,1615,,krt-1615-nne,"2e titel boven de kaart : Caerte van Vrieslandt | Beschreven in: Vredenberg-Alink, De kaarten van Groningerland, p. 113 (III B 6) |",,,,,74.20 geografie van Nederland |,[ca. 1:700.000],,,13 x 18 cm,kopergravure,1 krt,,Verso tekst in het Nederlands |,"Geplakt op linnen, waardoor verso tekst niet goed leesbaar is | Bibliotheek Bakker |",108247252,4.210.200 Noord-Nederland |,BACKER PORT 11 NO03 | ; krt-1615-nne,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/886,,2012-10-24,2012-10-24,886,6487.cpd,/Kaarten/image/6487.cpd
,uklu 01-01-30,Inferioris Germaniæ descriptio,[Arnhem : Johannes Janszonius],,,1616,,krt-1616-eur-benelux  krt-1616-eur-benelux-v,,,,,,74.19 geografie van Europa |,1:4.000.000,,,15 x 20 cm,kopergravure,1 krt,,,,13825835X,4.210 Nederland | 4.220 Belgie | 4.230 Luxemburg (land) |,krt-1616-eur-benelux,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/889,,2012-10-24,2012-10-24,889,6490.cpd,/Kaarten/image/6490.cpd
,uklu 01-13-22,"En tibi lector regio Frisiae, quae inter Lavicam et Amasum flumina Dullartumque sinum porrigitur ... : cum metropoli sua civitate inclyta Groninga",[Amsterdam] : Guilielmus Iansonius,"Wicheringe, Bartholdus",,1616,,krt-1616-grp,"Met opdracht door Bartoldus Wicheringe | Met octrooi voor 5 jaar verleend aan Guilielmus Iansonius [d.i. W.J. Blaeu] | Met aanbeveling van Ubbo Emmius | Beschreven in: Vredenberg-Alink, De kaarten van Groningerland IV A 1 |",,,,,74.20 geografie van Nederland |,[ca. 1:175.000],,,"37,5 x 49 cm",kopergravure,1 krt,,,"gekleurd, de randen afgesneden, geplakt op linnen | Bibliotheek Backer |",152089551,4.210.230 Groningen (provincie) |,BACKER PORT 13 NO13 | BB portef. XIII nr. 13 | ; krt-1616-grp,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/891,,2012-10-24,2012-10-24,891,6492.cpd,/Kaarten/image/6492.cpd
,uklu 01-04-29,[Plattegrond van Groningen],[Lugduni Batavorum : apud Ludovicum Elzevirium],"Geilekerckius, Nicolaus",,1616,,krt-1616-grs  krt-1616-grs-a,Met opdracht: Nobilissimis prudentissimis amplissimae validissimae ac splendissimae civitatis Groningae consulibus offert Nicolaus Geilekerckius sculptor |,,,,,74.20 geografie van Nederland |,[ca. 1:5.000],,,"27 x 30,5 cm",kopergravure,1 plattegrond,,Met lijst van voornaamste gebouwen en straten |,"De randen afgesneden, geplakt op linnen | Bibliotheek Backer | Met door Backer in inkt geschreven Ned. vert. van de opdracht op de kaart | bruin exemplaar, de randen afgesneden, geplakt op linnen | Bibliotheek Backer |",10892405X,4.210.230 Groningen (stad) |,BACKER PORT 09 NO4 B (vert. opdracht) | BACKER PORT 09 NO4 | BACKER PORT 09 NO4 A | ; krt-1616-grs,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/894,,2012-10-24,2012-10-24,894,6495.cpd,/Kaarten/image/6495.cpd
,uklu 01-01-22,Geldria et Transisulana,S.l. : s.n.,,,1616,,krt-1616-ned  krt-1616-ned-v,"Beschreven in: Vredenberg-Alink, De kaarten van Gelderland ... p. 30 |",,,,,74.20 geografie van Nederland |,[ca. 1:900.000],,,"13 x 18,5 cm",kopergrav.,1 krt,,Verso: Descriptio Ducatus Geldriae [tekst i.h. Lat.] |,De randen afgesneden |,11937904X,4.210.310 Gelderland | 4.210.270 Overijssel |,krt-1616-ned,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/897,,2012-10-24,2012-10-24,897,6498.cpd,/Kaarten/image/6498.cpd
,uklu 01-06-05,Groninga Dominium,[Amstelodami] : P. Kaerius,"Kaerius, P.",,1617,,krt-1617-grp  krt-1617-grp-v  kb-1617-grp-gron,,,,,,74.20 geografie van Nederland |,[ca 1:175.000],,,37 x 48 cm,kopergrav,1 krt,Inzet rechtsboven,,De randen gerestaureerd | Kaart in opening tussen p. 91-92 |,123487463,4.210.230 Groningen (provincie) |,6241/1972 | 18939/1990 | ; krt-1617-grp,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/900,,2012-10-24,2012-10-24,900,6501.cpd,/Kaarten/image/6501.cpd
